,source,target,relation
5,FCA US LLC,"Banco Santander,",dependent on
6,FCA US LLC,S.A.,dependent on
7,FCA US LLC,EPA,dependent on
0,Aptiv PLC,the European Union,Supply
1,Aptiv PLC,the North American Free Trade Agreement,Supply
2,Aptiv PLC,Company,Supply
4,Aptiv PLC,OEM,Supply
5,Aptiv PLC,Daimler,Supply
6,Aptiv PLC,Toyota Motor Corporation,Supply
7,Aptiv PLC,Tata Motors Limited,Supply
8,Aptiv PLC,GM,Supply
9,Aptiv PLC,Tier,Supply
12,Aptiv PLC,Aptiv,Supply
15,Aptiv PLC,—The Company,Supply
19,Aptiv PLC,NON,Supply
21,Aptiv PLC,Ernst & Young LLP,Supply
22,Aptiv PLC,the Report of Independent Registered Public Accounting Firm,Supply
23,Aptiv PLC,Delphi Corporation,Supply
24,Aptiv PLC,Wilmington Trust,Supply
25,Aptiv PLC,National Association,Supply
26,Aptiv PLC,Trustee,Supply
27,Aptiv PLC,Deutsche Bank Trust Company Americas,Supply
28,Aptiv PLC,Registrar,Supply
29,Aptiv PLC,the Current Report on Form 8-K,Supply
31,Aptiv PLC,SEC,Supply
33,Aptiv PLC,Guarantors,Supply
0,Aptiv PLC,MaximumMember,customers
1,Aptiv PLC,MinimumMember,customers
2,Aptiv PLC,FalmatMember,customers
3,Aptiv PLC,the European Union,customers
4,Aptiv PLC,the North American Free Trade Agreement,customers
5,Aptiv PLC,Company,customers
7,Aptiv PLC,Signal,customers
8,Aptiv PLC,Power Solutions,customers
9,Aptiv PLC,Visteon Corporation,customers
10,Aptiv PLC,Customer Percentage of Net Sales General Motors Company,customers
11,Aptiv PLC,Daimler,customers
12,Aptiv PLC,Toyota Motor Corporation,customers
13,Aptiv PLC,Tata Motors Limited,customers
14,Aptiv PLC,GM,customers
17,Aptiv PLC,OEM,customers
21,Aptiv PLC,Falmat Inc.,customers
23,Aptiv PLC,the U.S. Department of Transportation,customers
26,Aptiv PLC,Aptiv,customers
39,Aptiv PLC,—The Company,customers
45,Aptiv PLC,—Aptiv,customers
47,Aptiv PLC,VW,customers
48,Aptiv PLC,FCA,customers
51,Aptiv PLC,Goodwill,customers
54,Aptiv PLC,KUM,customers
0,Aptiv PLC,Customer Percentage of Net Sales General Motors Company,Sells to
1,Aptiv PLC,GM,Sells to
2,Aptiv PLC,VW,Sells to
3,Aptiv PLC,FCA,Sells to
4,Aptiv PLC,Aptiv,Sells to
7,Aptiv PLC,European Opel,Sells to
8,Aptiv PLC,PSA,Sells to
0,Aptiv PLC,Hyundai,dependent on
0,"Saleen Automotive, Inc.",Ford,Supply
1,"Saleen Automotive, Inc.",Tesla,Supply
2,"Saleen Automotive, Inc.",Independent Registered Public Accounting Firm F-1,Supply
3,"Saleen Automotive, Inc.",Company,Supply
0,"Saleen Automotive, Inc.",JSAT,customers
2,"Saleen Automotive, Inc.","97,312 Engineering",customers
3,"Saleen Automotive, Inc.",ASC,customers
4,"Saleen Automotive, Inc.",Company,customers
6,"Saleen Automotive, Inc.",Significant Concentrations Sales,customers
7,"Saleen Automotive, Inc.",Jiangsu Saleen Automotive Technology Co.,customers
10,"Saleen Automotive, Inc.",Supercars,customers
0,"Saleen Automotive, Inc.",Significant Concentrations Sales,Sells to
1,"Saleen Automotive, Inc.",Jiangsu Saleen Automotive Technology Co.,Sells to
0,"Saleen Automotive, Inc.",Jiangsu Saleen Automotive Technology Co.,dependent on
1,"Saleen Automotive, Inc.",Ford Mustang,dependent on
2,"Saleen Automotive, Inc.",Ford,dependent on
3,"Saleen Automotive, Inc.",Board of Directors,dependent on
4,"Saleen Automotive, Inc.",JSAT,dependent on
0,Armored AutoGroup Inc.,Armor,Supply
1,Armored AutoGroup Inc.,the IDQ Investment,Supply
2,Armored AutoGroup Inc.,Shared Services and Supply Agreement,Supply
3,Armored AutoGroup Inc.,"the ""Shared Services Agreement""",Supply
4,Armored AutoGroup Inc.,IDQ,Supply
5,Armored AutoGroup Inc.,Company,Supply
12,Armored AutoGroup Inc.,STP,Supply
13,Armored AutoGroup Inc.,Armored Auto Group Intermediate Inc.,Supply
14,Armored AutoGroup Inc.,Viking Intermediate Inc.,Supply
16,Armored AutoGroup Inc.,JPMorgan Chase Bank,Supply
17,Armored AutoGroup Inc.,"the ""Credit Facility""",Supply
19,Armored AutoGroup Inc.,Revolving Credit Facility,Supply
25,Armored AutoGroup Inc.,Parent,Supply
26,Armored AutoGroup Inc.,"the ""Parent Group""",Supply
27,Armored AutoGroup Inc.,the Parent Group,Supply
32,Armored AutoGroup Inc.,"the ""Company Group",Supply
33,Armored AutoGroup Inc.,the Company Group,Supply
37,Armored AutoGroup Inc.,The Compensation Committee,Supply
38,Armored AutoGroup Inc.,Viking Acquisition Inc.,Supply
39,Armored AutoGroup Inc.,Wells Fargo Bank,Supply
40,Armored AutoGroup Inc.,National Association,Supply
41,Armored AutoGroup Inc.,Trustee,Supply
42,Armored AutoGroup Inc.,AutoGroup Parent Inc.,Supply
43,Armored AutoGroup Inc.,IDQ Acquisition Corp.,Supply
44,Armored AutoGroup Inc.,"IDQ Holdings, Inc.",Supply
45,Armored AutoGroup Inc.,"IDQ Operating, Inc.",Supply
0,Armored AutoGroup Inc.,STP,customers
1,Armored AutoGroup Inc.,Wal-Mart,customers
2,Armored AutoGroup Inc.,CAS,customers
4,Armored AutoGroup Inc.,Company,customers
9,Armored AutoGroup Inc.,IDQ,customers
23,Armored AutoGroup Inc.,Revenue Recognition Sales,customers
25,Armored AutoGroup Inc.,the TSA the Company,customers
32,Armored AutoGroup Inc.,the Consolidated Balance Sheet,customers
36,Armored AutoGroup Inc.,Parent,customers
37,Armored AutoGroup Inc.,"the ""Parent Group""",customers
38,Armored AutoGroup Inc.,the Parent Group,customers
43,Armored AutoGroup Inc.,"the ""Company Group",customers
44,Armored AutoGroup Inc.,the Company Group,customers
0,Armored AutoGroup Inc.,Company,Sells to
2,Armored AutoGroup Inc.,Wal-Mart,Sells to
0,Armored AutoGroup Inc.,Company,dependent on
0,One 4 Art Ltd,INC,Supply
0,"ADOMANI, INC.",Electric Vehicle Supply Equipment,Supply
1,"ADOMANI, INC.",Envirotech,Supply
2,"ADOMANI, INC.",ADOMANI,Supply
3,"ADOMANI, INC.",Blue Bird,Supply
5,"ADOMANI, INC.",Raw Materials and Supply Chain Prices,Supply
6,"ADOMANI, INC.",• Vibration,Supply
7,"ADOMANI, INC.",• Overcharge,Supply
8,"ADOMANI, INC.",the Public Company Accounting Oversight Board,Supply
9,"ADOMANI, INC.",Supplement,Supply
12,"ADOMANI, INC.",U.S. Department of Energy,Supply
14,"ADOMANI, INC.",Company,Supply
15,"ADOMANI, INC.",DOE,Supply
21,"ADOMANI, INC.",GerWeiss,Supply
0,"ADOMANI, INC.",ICE,customers
1,"ADOMANI, INC.",Neighborhood Electric Vehicles,customers
2,"ADOMANI, INC.",Customer Service,customers
3,"ADOMANI, INC.",HVIP,customers
4,"ADOMANI, INC.",Ford,customers
5,"ADOMANI, INC.",Nissan,customers
6,"ADOMANI, INC.",Navistar,customers
7,"ADOMANI, INC.",Freightliner,customers
8,"ADOMANI, INC.",Merc,customers
9,"ADOMANI, INC.",Odyne Systems,customers
10,"ADOMANI, INC.",Lightning Systems,customers
11,"ADOMANI, INC.",Nordresa,customers
12,"ADOMANI, INC.",Mitsubishi/Fuso,customers
13,"ADOMANI, INC.",BYD,customers
14,"ADOMANI, INC.",TransPower,customers
15,"ADOMANI, INC.",Lion Electric Company,customers
16,"ADOMANI, INC.",Rivian,customers
17,"ADOMANI, INC.",General Motors,customers
18,"ADOMANI, INC.",Blue Bird,customers
19,"ADOMANI, INC.",Tesla,customers
20,"ADOMANI, INC.",Volkswagen,customers
21,"ADOMANI, INC.",Volvo,customers
22,"ADOMANI, INC.",PeterBilt,customers
23,"ADOMANI, INC.",Nikola,customers
24,"ADOMANI, INC.",Motiv,customers
26,"ADOMANI, INC.",CARB,customers
27,"ADOMANI, INC.",the EV Demonstration Project,customers
28,"ADOMANI, INC.",Clean Cities,customers
29,"ADOMANI, INC.",SEC,customers
30,"ADOMANI, INC.",General and Administrative Expenses Selling,customers
31,"ADOMANI, INC.",FASB,customers
33,"ADOMANI, INC.",Company,customers
36,"ADOMANI, INC.",EDI,customers
37,"ADOMANI, INC.","Cummins, Inc.",customers
39,"ADOMANI, INC.",ADOMANI,customers
0,"Green Parts International, Inc.",Rental,Supply
1,"Green Parts International, Inc.",Company,Supply
3,"Green Parts International, Inc.",GEOS,Supply
4,"Green Parts International, Inc.",G&A,Supply
6,"Green Parts International, Inc.",Item,Supply
7,"Green Parts International, Inc.",Interest,Supply
0,"Green Parts International, Inc.",Greenparts Electronic Ordering System,customers
1,"Green Parts International, Inc.",GEOS,customers
2,"Green Parts International, Inc.",Company,customers
0,Blow & Drive Interlock Corp,BDI-747/1,Supply
1,Blow & Drive Interlock Corp,BDI Manufacturing Inc.,Supply
2,Blow & Drive Interlock Corp,"Blow & Drive Interlock, Inc.",Supply
3,Blow & Drive Interlock Corp,Wireless Power,Supply
5,Blow & Drive Interlock Corp,C4 Development Ltd.,Supply
6,Blow & Drive Interlock Corp,C4 Development,Supply
8,Blow & Drive Interlock Corp,Alcohol Tester,Supply
9,Blow & Drive Interlock Corp,this Annual Report,Supply
10,Blow & Drive Interlock Corp,Item,Supply
11,Blow & Drive Interlock Corp,"BDI Manufacturing, Inc.",Supply
13,Blow & Drive Interlock Corp,Interest,Supply
14,Blow & Drive Interlock Corp,Company,Supply
0,Blow & Drive Interlock Corp,EZ,customers
1,Blow & Drive Interlock Corp,State,customers
2,Blow & Drive Interlock Corp,BDI Interlock,customers
3,Blow & Drive Interlock Corp,LLC,customers
6,Blow & Drive Interlock Corp,EZ Interlock,customers
9,Blow & Drive Interlock Corp,Company,customers
19,Blow & Drive Interlock Corp,the     Company,customers
0,Blow & Drive Interlock Corp,Company,dependent on
0,"Arazu, Inc",ExactRep,customers
1,"Arazu, Inc",DHL,customers
2,"Arazu, Inc",Federal Express,customers
3,"Arazu, Inc",SEC,customers
0,"Arazu, Inc",Company,dependent on
0,"Fenix Parts, Inc.",&,Supply
1,"Fenix Parts, Inc.",Transportation,Supply
2,"Fenix Parts, Inc.",Ryder Distribution Resources,Supply
3,"Fenix Parts, Inc.",Chrysler Motors,Supply
4,"Fenix Parts, Inc.",GE Supply,Supply
0,"Fenix Parts, Inc.",SEC,customers
1,"Fenix Parts, Inc.",Pink Sheets,customers
3,"Fenix Parts, Inc.",Toronto Facility,customers
4,"Fenix Parts, Inc.",the Ontario Ministry of the Environment and Climate Change,customers
5,"Fenix Parts, Inc.",Extensive Inventory and Distribution Platform,customers
6,"Fenix Parts, Inc.",Subsidiaries,customers
7,"Fenix Parts, Inc.",OEM,customers
8,"Fenix Parts, Inc.",FASB,customers
9,"Fenix Parts, Inc.",ASU,customers
10,"Fenix Parts, Inc.",Company,customers
16,"Fenix Parts, Inc.",Beagell,customers
24,"Fenix Parts, Inc.",Standard Auto,customers
0,UNION BRIDGE HOLDINGS LTD.,Interest,Supply
1,UNION BRIDGE HOLDINGS LTD.,CONSOLIDATED FINANCIAL,Supply
0,UNION BRIDGE HOLDINGS LTD.,Business to Customers,customers
1,UNION BRIDGE HOLDINGS LTD.,OLS,customers
2,UNION BRIDGE HOLDINGS LTD.,The Financial Industry Regulatory Authority,customers
3,UNION BRIDGE HOLDINGS LTD.,FINRA,customers
0,UNION BRIDGE HOLDINGS LTD.,Android,dependent on
1,UNION BRIDGE HOLDINGS LTD.,Windows,dependent on
0,Adient plc,Adient,Supply
6,Adient plc,BMW,Supply
7,Adient plc,Daimler AG,Supply
8,Adient plc,Fiat Chrysler Automobiles,Supply
9,Adient plc,Ford Motor Company,Supply
10,Adient plc,General Motors Company,Supply
11,Adient plc,Honda Motor Company,Supply
12,Adient plc,Hyundai Motor Company,Supply
13,Adient plc,Jaguar Land Rover,Supply
14,Adient plc,Kia Motor Company,Supply
15,Adient plc,Mazda Motor Company,Supply
16,Adient plc,Mitsubishi Motors,Supply
17,Adient plc,Nissan Motor Company,Supply
18,Adient plc,PSA Peugeot Citroen,Supply
19,Adient plc,Renault,Supply
20,Adient plc,Suzuki,Supply
21,Adient plc,Toyota Motor Corporation,Supply
22,Adient plc,Volkswagen AG,Supply
23,Adient plc,Volvo,Supply
25,Adient plc,"BAIC Motor Co., Ltd.",Supply
26,Adient plc,Brilliance Auto Group,Supply
27,Adient plc,"Changan Automobile (Group) Co., Ltd.",Supply
28,Adient plc,FAW Group Corporation,Supply
29,Adient plc,SAIC Motor Corporation Limited,Supply
30,Adient plc,Tata Motors Limited,Supply
31,Adient plc,Zhejiang Geely Holding Group Co.,Supply
32,Adient plc,Tesla Motors,Supply
33,Adient plc,OEM,Supply
35,Adient plc,Lear Corporation,Supply
36,Adient plc,IMDS,Supply
38,Adient plc,National Highway Traffic Safety Administration,Supply
39,Adient plc,Global Purchasing,Supply
40,Adient plc,Supplier Development and Logistics of,Supply
42,Adient plc,Business Adient,Supply
43,Adient plc,the European Union,Supply
100,Adient plc,Pre-Production Costs Related to Long-Term Supply Arrangements Adient,Supply
104,Adient plc,Adient Global Holdings Limited,Supply
105,Adient plc,U.S. Bank National Association,Supply
106,Adient plc,Trustee,Supply
126,Adient plc,Adient Global Holdings Ltd,Supply
127,Adient plc,Adient Global Holdings,Supply
131,Adient plc,Adient Ltd,Supply
132,Adient plc,Adient UK Global Financing Ltd,Supply
136,Adient plc,Quarterly Report on,Supply
156,Adient plc,Adient Fabrics Spain,Supply
157,Adient plc,S.A.U.,Supply
158,Adient plc,Michel Thierry Unit Components,Supply
159,Adient plc,S.L.U.,Supply
160,Adient plc,Adient Seating Holding Spain,Supply
163,Adient plc,Adient Automotive,Supply
165,Adient plc,Adient Real Estate Holding Spain,Supply
0,Adient plc,PatentsMember,customers
2,Adient plc,FuturisMember,customers
3,Adient plc,Adient,customers
6,Adient plc,OEM,customers
14,Adient plc,CPP,customers
26,Adient plc,BMW,customers
27,Adient plc,Daimler AG,customers
28,Adient plc,Fiat Chrysler Automobiles,customers
29,Adient plc,Ford Motor Company,customers
30,Adient plc,General Motors Company,customers
31,Adient plc,Honda Motor Company,customers
32,Adient plc,Hyundai Motor Company,customers
33,Adient plc,Jaguar Land Rover,customers
34,Adient plc,Kia Motor Company,customers
35,Adient plc,Mazda Motor Company,customers
36,Adient plc,Mitsubishi Motors,customers
37,Adient plc,Nissan Motor Company,customers
38,Adient plc,PSA Peugeot Citroen,customers
39,Adient plc,Renault,customers
40,Adient plc,Suzuki,customers
41,Adient plc,Toyota Motor Corporation,customers
42,Adient plc,Volkswagen AG,customers
43,Adient plc,Volvo,customers
50,Adient plc,National Highway Traffic Safety Administration,customers
61,Adient plc,the European Union,customers
82,Adient plc,General Motors,customers
120,Adient plc,Revenue Recognition,customers
122,Adient plc,ASU,customers
128,Adient plc,Pre-Production Costs Related to Long-Term Supply Arrangements Adient,customers
135,Adient plc,Fiat Chrysler Automobiles N.V.,customers
136,Adient plc,Volkswagen Group,customers
144,Adient plc,ASC,customers
0,Adient plc,Adient,Sells to
0,"REV Group, Inc.",Securities and Exchange Commission,Supply
1,"REV Group, Inc.",Chrysler,Supply
2,"REV Group, Inc.",Cummins,Supply
3,"REV Group, Inc.",Ford,Supply
4,"REV Group, Inc.",Freightliner,Supply
5,"REV Group, Inc.",General Motors,Supply
6,"REV Group, Inc.",Navistar,Supply
7,"REV Group, Inc.",Volvo,Supply
8,"REV Group, Inc.",Fire & Emergency,Supply
9,"REV Group, Inc.",Ambulance,Supply
10,"REV Group, Inc.",Fire,Supply
11,"REV Group, Inc.",Supplementary Data,Supply
0,"REV Group, Inc.",Regional Technical Centers,customers
1,"REV Group, Inc.",REV Fire & Emergency,customers
2,"REV Group, Inc.",REV,customers
3,"REV Group, Inc.",Lay-Mor,customers
5,"REV Group, Inc.",RTC,customers
6,"REV Group, Inc.",Fire & Emergency,customers
9,"REV Group, Inc.",Backlog Backlog,customers
11,"REV Group, Inc.",Company,customers
12,"REV Group, Inc.",Company’s,customers
15,"REV Group, Inc.",ASU,customers
17,"REV Group, Inc.",Goldshield,customers
18,"REV Group, Inc.",RRG,customers
19,"REV Group, Inc.",Goldshield’s,customers
0,"Veoneer, Inc.",Collaborative Driving,Supply
1,"Veoneer, Inc.",Company,Supply
2,"Veoneer, Inc.",Velodyne,Supply
3,"Veoneer, Inc.","Veoneer US, Inc.",Supply
5,"Veoneer, Inc.",Geely,Supply
7,"Veoneer, Inc.",ADAS,Supply
8,"Veoneer, Inc.",VNBS,Supply
9,"Veoneer, Inc.",VBS,Supply
11,"Veoneer, Inc.",Veoneer,Supply
15,"Veoneer, Inc.",General Motors,Supply
16,"Veoneer, Inc.",Toyota,Supply
17,"Veoneer, Inc.",Volkswagen,Supply
18,"Veoneer, Inc.",Aptiv,Supply
19,"Veoneer, Inc.",Bosch,Supply
20,"Veoneer, Inc.",Continental,Supply
21,"Veoneer, Inc.",ZF,Supply
23,"Veoneer, Inc.",AD,Supply
24,"Veoneer, Inc.",Restraint Control Systems,Supply
25,"Veoneer, Inc.",Active Safety,Supply
26,"Veoneer, Inc.",Passive Safety,Supply
29,"Veoneer, Inc.",Safety Domain Controller,Supply
30,"Veoneer, Inc.",Value Engineering,Supply
31,"Veoneer, Inc.",Value Analysis,Supply
32,"Veoneer, Inc.",The Zenuity JV Agreement,Supply
33,"Veoneer, Inc.",Volvo Cars,Supply
34,"Veoneer, Inc.",Zenuity,Supply
35,"Veoneer, Inc.",Google,Supply
36,"Veoneer, Inc.",Argo,Supply
37,"Veoneer, Inc.",Cruise,Supply
38,"Veoneer, Inc.",Samsung,Supply
39,"Veoneer, Inc.",Panasonic,Supply
40,"Veoneer, Inc.",OEM,Supply
41,"Veoneer, Inc.",COVID-19,Supply
42,"Veoneer, Inc.",LVP,Supply
43,"Veoneer, Inc.",the U.S. Export Administration Act,Supply
51,"Veoneer, Inc.","Velodyne LiDAR, Inc.",Supply
0,"Veoneer, Inc.",MinimumMember,customers
1,"Veoneer, Inc.",MaximumMember,customers
2,"Veoneer, Inc.",Company,customers
3,"Veoneer, Inc.",Geely,customers
4,"Veoneer, Inc.",Mercedes-Benz,customers
5,"Veoneer, Inc.",Volvo Cars,customers
6,"Veoneer, Inc.",OEM,customers
7,"Veoneer, Inc.",Fiat,customers
8,"Veoneer, Inc.",GAC,customers
10,"Veoneer, Inc.",General Motors,customers
11,"Veoneer, Inc.",GM,customers
12,"Veoneer, Inc.",Honda,customers
14,"Veoneer, Inc.",Renault,customers
17,"Veoneer, Inc.",Mercedes-Benz S,customers
18,"Veoneer, Inc.",Audi,customers
19,"Veoneer, Inc.",BMW,customers
22,"Veoneer, Inc.",PSA,customers
23,"Veoneer, Inc.",Porsche,customers
24,"Veoneer, Inc.",Volkswagen,customers
25,"Veoneer, Inc.",FCA,customers
26,"Veoneer, Inc.",Ford,customers
29,"Veoneer, Inc.",Hyundai,customers
30,"Veoneer, Inc.",Kia,customers
31,"Veoneer, Inc.",Jaguar Land Rover,customers
32,"Veoneer, Inc.",Mazda,customers
35,"Veoneer, Inc.",Suzuki,customers
37,"Veoneer, Inc.",Zenuity,customers
38,"Veoneer, Inc.",ADAS,customers
40,"Veoneer, Inc.",VBS,customers
43,"Veoneer, Inc.",Apple,customers
44,"Veoneer, Inc.",Waymo,customers
45,"Veoneer, Inc.",Intel,customers
46,"Veoneer, Inc.",NVIDIA,customers
47,"Veoneer, Inc.",Active Safety,customers
48,"Veoneer, Inc.",Customers Veoneer,customers
50,"Veoneer, Inc.",Brake Systems,customers
53,"Veoneer, Inc.",Daimler,customers
59,"Veoneer, Inc.",Value Engineering,customers
60,"Veoneer, Inc.",Value Analysis,customers
61,"Veoneer, Inc.",The Zenuity JV Agreement,customers
64,"Veoneer, Inc.",LVP,customers
70,"Veoneer, Inc.",RD&E,customers
71,"Veoneer, Inc.",Autoliv,customers
75,"Veoneer, Inc.",AVs,customers
77,"Veoneer, Inc.",Shanghai Electronics Customer,customers
78,"Veoneer, Inc.",France Veoneer,customers
79,"Veoneer, Inc.",Cergy-Pontoise Electronics Customer,customers
80,"Veoneer, Inc.",Kitzingen Electronics Customer,customers
81,"Veoneer, Inc.",India Veoneer India Private Limited Bangalore Electronics Customer,customers
82,"Veoneer, Inc.",Veoneer Japan,customers
83,"Veoneer, Inc.",Hiroshima Electronics Customer,customers
84,"Veoneer, Inc.",Yokohama Electronics Customer,customers
85,"Veoneer, Inc.",Veoneer Korea,customers
86,"Veoneer, Inc.",Hwaseong-shi Electronics Customer,customers
87,"Veoneer, Inc.",USA Veoneer US,customers
88,"Veoneer, Inc.",MI Electronics Brake,customers
89,"Veoneer, Inc.",Lowell,customers
90,"Veoneer, Inc.",MA Electronics Electronics,customers
92,"Veoneer, Inc.",Non-U.S.,customers
93,"Veoneer, Inc.",Net Working Capital Net Working Capital 1 - Net,customers
94,"Veoneer, Inc.",ASC,customers
99,"Veoneer, Inc.",F.O.B.,customers
107,"Veoneer, Inc.","Property, Plant & Equipment",customers
108,"Veoneer, Inc.",Company’s,customers
112,"Veoneer, Inc.",FASB,customers
113,"Veoneer, Inc.",ASU,customers
119,"Veoneer, Inc.",Business Combinations Business,customers
126,"Veoneer, Inc.",Alecta,customers
0,"Veoneer, Inc.",Company,Sells to
0,"Veoneer, Inc.",Customers Veoneer,dependent on
1,"Veoneer, Inc.",LVP,dependent on
0,Garrett Motion Inc.,IVHM,Supply
1,Garrett Motion Inc.,Tier,Supply
2,Garrett Motion Inc.,the U.K. Trade,Supply
3,Garrett Motion Inc.,Consolidated,Supply
4,Garrett Motion Inc.,Company,Supply
5,Garrett Motion Inc.,—The Company’s,Supply
6,Garrett Motion Inc.,Deloitte SA,Supply
7,Garrett Motion Inc.,Integrated Supply Chain,Supply
8,Garrett Motion Inc.,Voith Turbo GmbH & Co. KG,Supply
10,Garrett Motion Inc.,the Spin-Off,Supply
11,Garrett Motion Inc.,Global Integrated Supply Chain,Supply
12,Garrett Motion Inc.,Honeywell Transportation Systems,Supply
0,Garrett Motion Inc.,IVHM,customers
1,Garrett Motion Inc.,Ford Motor Company,customers
2,Garrett Motion Inc.,Ford,customers
3,Garrett Motion Inc.,OEM,customers
4,Garrett Motion Inc.,Tier,customers
5,Garrett Motion Inc.,the U.K. Trade,customers
6,Garrett Motion Inc.,Company,customers
7,Garrett Motion Inc.,Middle East & South Asia & North America Africa Asia Pacific South America Total Manufacturing Sites,customers
8,Garrett Motion Inc.,FASB,customers
9,Garrett Motion Inc.,ASC,customers
10,Garrett Motion Inc.,Revenue Recognition and Contracts,customers
12,Garrett Motion Inc.,Accrued Liabilities,customers
13,Garrett Motion Inc.,the Consolidated and Combined Balance Sheets,customers
14,Garrett Motion Inc.,Financial Instruments,customers
15,Garrett Motion Inc.,—We,customers
16,Garrett Motion Inc.,Global Customer Management & General,customers
17,Garrett Motion Inc.,Honeywell,customers
18,Garrett Motion Inc.,Sourcing for Transportation Systems,customers
19,Garrett Motion Inc.,Customer Management for Passenger Vehicles,customers
20,Garrett Motion Inc.,Honeywell Turbo Technologies,customers
21,Garrett Motion Inc.,European Sales,customers
22,Garrett Motion Inc.,Director of Marketing and Business Development,customers
23,Garrett Motion Inc.,Board,customers
24,Garrett Motion Inc.,Global Customer Management,customers
25,Garrett Motion Inc.,the Spin-Off,customers
26,Garrett Motion Inc.,Customer Management,customers
27,Garrett Motion Inc.,Honeywell Transportation Systems for,customers
28,Garrett Motion Inc.,Honeywell Transportation Systems,customers
0,Garrett Motion Inc.,Honeywell,dependent on
0,"SORL Auto Parts, Inc.",the ISO/TS 16949 System Certification,Supply
1,"SORL Auto Parts, Inc.",the TUV CERT Certification Body of TUV Industries Service,Supply
2,"SORL Auto Parts, Inc.",Company,Supply
3,"SORL Auto Parts, Inc.",the FAW Group,Supply
4,"SORL Auto Parts, Inc.","Beiqi Foton Motor Co., Ltd.",Supply
5,"SORL Auto Parts, Inc.",Dongfeng Motor Co.,Supply
6,"SORL Auto Parts, Inc.","Anhui     Jianghuai Automobile Co., Ltd.",Supply
7,"SORL Auto Parts, Inc.","Shanghai Shougang Steel Trading Co., Ltd.",Supply
8,"SORL Auto Parts, Inc.","Shanghai Bao Steel Trading Co., Ltd.",Supply
9,"SORL Auto Parts, Inc.","Nanjing Iron & Steel Co., Ltd.",Supply
0,"SORL Auto Parts, Inc.",ISO 9000,customers
1,"SORL Auto Parts, Inc.",OEM,customers
3,"SORL Auto Parts, Inc.",Company,customers
4,"SORL Auto Parts, Inc.",Equip Auto,customers
5,"SORL Auto Parts, Inc.",China Import and Export Fair,customers
6,"SORL Auto Parts, Inc.",Chongqing Heavy Vehicle Group Co.,customers
22,"SORL Auto Parts, Inc.",ASU,customers
0,"SORL Auto Parts, Inc.",the Joint Venture,dependent on
0,SPARTAN MOTORS INC,Spartan,Supply
1,SPARTAN MOTORS INC,EBITDA,Supply
2,SPARTAN MOTORS INC,Spartan Safe Haul,Supply
4,SPARTAN MOTORS INC,FVS,Supply
5,SPARTAN MOTORS INC,the United States Postal Service,Supply
6,SPARTAN MOTORS INC,Company’s,Supply
7,SPARTAN MOTORS INC,Company,Supply
0,SPARTAN MOTORS INC,Fleet Vehicles and Services,customers
1,SPARTAN MOTORS INC,Customer Service Department,customers
2,SPARTAN MOTORS INC,OEM,customers
3,SPARTAN MOTORS INC,Spartan USA,customers
4,SPARTAN MOTORS INC,Year Customer Sales,customers
7,SPARTAN MOTORS INC,the Consolidated Balance Sheets,customers
8,SPARTAN MOTORS INC,Company,customers
14,SPARTAN MOTORS INC,Goodwill,customers
15,SPARTAN MOTORS INC,"SPARTAN MOTORS,",customers
16,SPARTAN MOTORS INC,INC,customers
18,SPARTAN MOTORS INC,FVS,customers
20,SPARTAN MOTORS INC,﻿Combined,customers
21,SPARTAN MOTORS INC,﻿Segment ﻿2019,customers
0,LCI INDUSTRIES,"Lippert Components, Inc.",Supply
1,LCI INDUSTRIES,“Lippert Components”,Supply
2,LCI INDUSTRIES,Company,Supply
4,LCI INDUSTRIES,Polyplastic Group B.V.,Supply
6,LCI INDUSTRIES,Ciesse Holdings S.r.l,Supply
7,LCI INDUSTRIES,Rignano,Supply
9,LCI INDUSTRIES,Lewmar Marine Ltd.,Supply
10,LCI INDUSTRIES,the Company and Furrion Limited,Supply
12,LCI INDUSTRIES,LCI,Supply
13,LCI INDUSTRIES,Dexter Axle Company,Supply
14,LCI INDUSTRIES,Carefree of Colorado,Supply
15,LCI INDUSTRIES,Dometic Corporation,Supply
23,LCI INDUSTRIES,Taylor Made Group,Supply
24,LCI INDUSTRIES,LLC,Supply
25,LCI INDUSTRIES,Gloversville,Supply
35,LCI INDUSTRIES,Furrion Distribution and Supply Agreement,Supply
37,LCI INDUSTRIES,Furrion Limited,Supply
0,LCI INDUSTRIES,MinimumMember,customers
1,LCI INDUSTRIES,MaximumMember,customers
2,LCI INDUSTRIES,PatentsMember,customers
14,LCI INDUSTRIES,the Securities and Exchange Commission,customers
15,LCI INDUSTRIES,SEC,customers
16,LCI INDUSTRIES,Customer Concentrations Thor Industries,customers
17,LCI INDUSTRIES,Company’s,customers
18,LCI INDUSTRIES,Berkshire Hathaway Inc.,customers
19,LCI INDUSTRIES,"Forest River, Inc.",customers
20,LCI INDUSTRIES,"Clayton Homes, Inc.",customers
23,LCI INDUSTRIES,Company,customers
24,LCI INDUSTRIES,Aftermarket Segment,customers
29,LCI INDUSTRIES,the OEM Segment,customers
31,LCI INDUSTRIES,the EU General Data Protection Regulation (the “,customers
32,LCI INDUSTRIES,Board of Directors,customers
33,LCI INDUSTRIES,OEM,customers
34,LCI INDUSTRIES,the Adjacent Industries,customers
39,LCI INDUSTRIES,Change Travel,customers
40,LCI INDUSTRIES,Motorhomes,customers
